run_accession;sample_accession;fastq_ftp;sample_alias
DRR234860;SAMD00232055;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234860/DRR234860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234860/DRR234860_2.fastq.gz";SAMD00232055
DRR234861;SAMD00232056;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234861/DRR234861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234861/DRR234861_2.fastq.gz";SAMD00232056
DRR234862;SAMD00232057;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234862/DRR234862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234862/DRR234862_2.fastq.gz";SAMD00232057
DRR234863;SAMD00232058;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234863/DRR234863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234863/DRR234863_2.fastq.gz";SAMD00232058
DRR234864;SAMD00232059;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234864/DRR234864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234864/DRR234864_2.fastq.gz";SAMD00232059
DRR234865;SAMD00232060;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234865/DRR234865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234865/DRR234865_2.fastq.gz";SAMD00232060
DRR234866;SAMD00232061;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234866/DRR234866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234866/DRR234866_2.fastq.gz";SAMD00232061
DRR234867;SAMD00232062;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234867/DRR234867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234867/DRR234867_2.fastq.gz";SAMD00232062
DRR234868;SAMD00232063;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234868/DRR234868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234868/DRR234868_2.fastq.gz";SAMD00232063
DRR234869;SAMD00232064;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234869/DRR234869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234869/DRR234869_2.fastq.gz";SAMD00232064
